Area;Major;Minor;Angle
2282;70.613;41.147;116
1873;57.131;41.742;170.319
1860;56.705;41.764;170.468
2806;63.023;56.689;46.35
1856;57.034;41.434;169.778
3003;72.247;52.923;58.327
2791;62.714;56.664;46.742
2238;62.488;45.601;12.392
1365;44.814;38.782;32.684
2116;56.363;47.8;33.633
2404;59.867;51.128;32.175
1998;55.934;45.481;34.734
3830;92.717;52.596;179.971
1560;51.305;38.714;68.71
922;41.729;28.132;133.461
2214;58.792;47.948;13.324
1562;51.583;38.555;68.056
904;41.197;27.939;133.438
2193;58.385;47.824;13.435
1437;45.984;39.789;70.427
3802;83.482;57.987;168.04
2369;61.479;49.062;14.171
921;41.577;28.205;133.234
2185;64.149;43.368;177.4
3822;83.619;58.196;167.494
2604;60.414;54.88;123.089
2094;63.975;41.675;158.734
2112;56.169;47.874;33.846
2410;59.742;51.362;31.428
2012;55.991;45.753;35.091
953;141.231;8.592;153.382
3851;92.881;52.79;0.123
1948;56.322;44.037;42.25
2980;67.6;56.128;102.227
1783;61.868;36.694;152.821
1780;62.629;36.187;30.83
2598;60.478;54.695;123.702
1357;45.734;37.779;175.271
2085;63.863;41.569;158.824
2822;62.395;57.586;67.142
3429;68.558;63.683;78.648
2389;58.291;52.182;166.588
1960;55.958;44.597;41.663
2998;67.869;56.243;103.547
2814;66.979;53.493;14.449
1810;62.496;36.875;153.145
1803;63.143;36.356;30.62
197;17.06;14.703;42.011
3101;71.415;55.287;62.192
2662;61.598;55.024;127.096
1130;40.639;35.403;7.016
3172;71.849;56.212;0.487
1461;45.229;41.129;73.506
2401;65.661;46.558;30.221
525;26.729;25.008;155.009
3166;71.981;56.002;1.304
794;36.866;27.422;10.933
106;14.227;9.486;20.504
1982;64.781;38.956;78.164
1999;64.956;39.183;77.942
1575;46.007;43.588;128.533
3474;69.476;63.666;61.913
1366;43.818;39.692;149.023
149;16.963;11.184;128.624
1583;51.917;38.822;68.957
2207;58.689;47.88;13.317
1483;46.637;40.488;70.794
2912;72.466;51.164;108.767
2392;61.526;49.501;13.508
1726;48.043;45.743;133.257
2119;56.172;48.031;80.01
3877;87.083;56.685;92.852
2454;63.058;49.55;84.277
2642;68.222;49.308;92.908
3817;74.628;65.123;31.349
2506;68.664;46.469;37.289
3017;65.76;58.415;154.525
