Area;Major;Minor;Angle
1850;50.75;46.414;104.57
2668;61.117;55.582;166.789
2805;61.922;57.676;115.032
1486;46.432;40.748;152.441
3568;74.221;61.208;83.248
3461;68.858;63.997;51.894
2686;62.325;54.872;43.9
2287;57.284;50.832;151.427
2720;75.13;46.096;142.21
2513;67.668;47.284;108.305
3814;81.093;59.884;140.425
3849;70.356;69.656;70.472
2067;53.739;48.974;6.022
3203;71.824;56.78;83.712
3480;84.344;52.533;57.61
2340;66.61;44.729;144.243
3392;66.907;64.55;38.816
3667;74.995;62.257;165.504
3353;81.728;52.237;156.866
3450;73.852;59.479;69.798
2405;56.644;54.06;39.449
3062;64.262;60.668;96.462
2430;60.051;51.523;178.162
2193;64.929;43.004;102.001
2490;65.002;48.773;129.447
2924;71.285;52.227;76.659
3765;71.749;66.813;43.561
3667;74.97;62.278;165.526
3352;81.736;52.216;156.856
3449;73.833;59.478;69.85
2405;56.644;54.06;39.449
3063;64.293;60.659;96.621
2430;60.051;51.523;178.162
2191;64.926;42.967;102.087
2490;65.002;48.773;129.447
2923;71.251;52.233;76.634
3764;71.737;66.806;43.776
2640;64.802;51.871;150.35
3454;78.993;55.673;48.239
2593;61.31;53.849;78.632
2349;60.397;49.52;83.753
2083;60.629;43.744;21.073
2398;60.699;50.301;174.034
2389;60.524;50.257;174.952
3262;64.913;63.983;146.048
2119;61.708;43.722;94.626
2501;64.738;49.189;172.262
2314;61.656;47.786;123.09
1990;54.114;46.823;73.747
3057;71.516;54.426;10.258
2988;77.55;49.058;114.813
2285;63.243;46.002;70.024
3153;67.964;59.069;156.955
2876;65.413;55.981;167.408
1081;42.008;32.765;167.745
3564;70.733;64.154;14.179
1174;40.764;36.67;147.879
2762;78.509;44.794;92.336
2740;65.059;53.623;155.885
1895;57.492;41.967;90.273
2841;61.98;58.362;135.619
3431;72.047;60.634;67.382
3632;71.559;64.624;18.434
3348;76.471;55.744;98.767
3681;76.798;61.027;23.833
3598;75.075;61.021;101.589
1191;40.778;37.187;149.969
2806;68.786;51.94;4.888
3317;86.98;48.555;133.81
3913;71.936;69.259;96.784
3461;71.058;62.015;51.506
3134;76.806;51.954;65.702
2398;64.809;47.111;31.994
3014;67.976;56.455;117.654
3210;72.131;56.662;38.778
3332;70.22;60.417;36.692
2823;68.8;52.244;5.772
3789;80.927;59.613;83.969
3123;74.082;53.675;153.512
3904;87.573;56.761;43.625
3593;69.993;65.36;130.559
2328;67.253;44.074;26.229
2020;54.971;46.787;40.407
1720;54.078;40.496;133.35
2993;71.34;53.417;82.66
1637;51.841;40.205;141.021
3301;84.003;50.034;104.284
3479;82.876;53.449;104.912
2904;72.296;51.143;132.035
2915;63.228;58.7;117.295
2653;63.766;52.973;150.32
2869;67.654;53.994;4.419
2798;66.458;53.606;149.505
3463;75.811;58.161;69.657
1897;64.668;37.35;6.563
2723;62.605;55.379;151.955
3045;78.423;49.437;38.844
1643;60.696;34.466;147.517
3030;73.321;52.617;132.455
3289;71.243;58.78;55.673
3519;74.217;60.37;156.579
1845;58.245;40.332;91.566
3171;70.086;57.607;156.421
3807;72.679;66.694;42.847
3144;69.586;57.526;174.945
3362;73.982;57.861;29.923
3217;70.276;58.284;103.269
2172;55.791;49.568;76.209
2834;70.689;51.045;3.227
3962;97.098;51.954;163.588
3275;84.324;49.451;103.531
3445;82.697;53.041;104.502
2866;71.89;50.759;131.834
2862;62.403;58.395;114.277
2621;63.601;52.47;149.491
2833;66.972;53.86;4.031
1812;57.826;39.897;91.538
3802;72.501;66.77;42.925
3275;84.324;49.451;103.531
3444;82.689;53.03;104.545
2866;71.89;50.759;131.834
2863;62.406;58.412;114.552
2621;63.601;52.47;149.491
2834;66.98;53.872;4.135
1813;57.848;39.904;91.448
3203;67.927;60.037;41.864
3801;72.488;66.764;43.081
1636;52.198;39.906;141.283
3058;65.321;59.607;31.081
3274;84.258;49.474;103.53
3458;82.609;53.298;104.602
2872;72.073;50.736;131.382
2890;62.606;58.775;111.469
2636;63.757;52.641;150.495
2866;67.587;53.991;4.632
3419;67.837;64.171;109.622
2181;59.616;46.581;22.478
3258;74.343;55.798;163.822
2769;68.463;51.497;27.411
2787;63.266;56.089;38.885
3196;71.327;57.051;69.745
2128;58.437;46.366;110.016
2671;61.603;55.205;95.722
2152;70.52;38.855;161.551
1935;51.656;47.695;113.967
3604;80.698;56.863;75.013
1464;46.801;39.828;106.195
3699;78.162;60.256;49.316
1887;53.084;45.26;82.139
3495;71.456;62.276;25.62
3037;66.659;58.009;14.846
2746;70.231;49.783;93.536
2685;73.528;46.494;178.916
2651;69.609;48.49;86.965
2630;68.131;49.15;178.711
2657;65.164;51.915;76.405
2157;70.494;38.959;161.803
2535;62.214;51.88;179.384
2365;57.317;52.536;106.543
2044;56.432;46.118;100.413
2447;62.612;49.76;68.704
2132;57.291;47.382;25.575
3311;66.071;63.806;30.812
3570;74.318;61.162;164.858
